1 0.102171 0.102193
11 0.103138 0.104670
21 0.103055 0.102586
31 0.102845 0.102839
41 0.105422 0.103423
51 0.104711 0.104158
61 0.105004 0.105755
71 0.116393 0.113662
81 0.105506 0.104380
91 0.111562 0.111184
101 0.121635 0.121152
111 0.116046 0.111255
121 0.105553 0.104924
131 0.107389 0.108296
141 0.115603 0.115057
151 0.123474 0.119809
161 0.131547 0.130612
171 0.129190 0.133738
181 0.130532 0.129998
191 0.126154 0.125640
201 0.122172 0.123622
211 0.117751 0.117726
221 0.114285 0.113822
231 0.109995 0.108821
241 0.105752 0.106333
